,Admission Date,Company Name,Ticker,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
0,02/11/1995,ACER INCORPORATED,,Technology,Technology,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
1,27/07/1938,AECI LD,,Basic Materials,Chemicals,South Africa,Africa,MAIN MARKET,Yes,-
2,18/10/2018,ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.,,Energy,Energy,Egypt,Middle East,ADMISSION TO TRADING ONLY,Yes,-
3,30/11/2010,ALUMINIUM BAHRAIN B.S.C.,,Basic Materials,Basic Resources,Bahrain,Middle East,MAIN MARKET,Yes,-
4,06/10/2017,AMER GROUP HOLDING COMPANY S.A.E,,Real Estate,Real Estate,Egypt,Middle East,ADMISSION TO TRADING ONLY,Yes,-
5,10/10/1991,ANA HOLDINGS INC.,,Consumer Discretionary,Travel and Leisure,Japan,Asia,ADMISSION TO TRADING ONLY,Yes,-
6,21/09/2016,ARABIAN FOOD INDUSTRIES COMPANY DOMTY S.A.E.,,Consumer Staples,"Food, Beverage and Tobacco",Egypt,Middle East,ADMISSION TO TRADING ONLY,Yes,-
7,06/12/1985,ASHPOL PLC,,,,United Kingdom,Europe,MAIN MARKET,No,-
8,16/09/1996,ASIA CEMENT CORPORATION,,Industrials,Construction and Materials,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
9,06/05/2010,AVANGARDCO INVESTMENTS PUBLIC LIMITED,,Consumer Staples,"Food, Beverage and Tobacco",Cyprus,Europe,MAIN MARKET,Yes,-
10,22/03/2005,AXIS BANK LIMITED,,Financials,Banks,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
11,06/11/1996,BANK AUDI S.A.L.,,Financials,Banks,Lebanon,Middle East,MAIN MARKET,Yes,-
12,05/10/2005,BANKMUSCAT (S.A.O.G.),,Financials,Banks,Oman,Middle East,MAIN MARKET,Yes,-
13,03/11/2000,BANK PEKAO SA,,Financials,Banks,Poland,Europe,MAIN MARKET,Yes,-
14,13/04/1995,BBVA CAPITAL FUNDING LD,,,,Cayman Islands,North America,MAIN MARKET,Yes,-
15,21/10/2005,BEXIMCO PHARMACEUTICALS LIMITED,,Health Care,Health Care,Bangladesh,Asia,AIM,Yes,-
16,11/05/2006,BLOM BANK SAL,,Financials,Banks,Lebanon,Middle East,ADMISSION TO TRADING ONLY,Yes,-
17,28/07/1997,BRISTOL & WEST PLC,,Financials,Financial Services,United Kingdom,Europe,MAIN MARKET,No,-
18,19/02/2009,BYBLOS BANK S.A.L,,Financials,Banks,Lebanon,Middle East,MAIN MARKET,Yes,-
19,21/02/2018,CABLEVISION HOLDING S.A.,,Telecommunications,Telecommunications,Argentina,Latin America,MAIN MARKET,Yes,-
20,27/09/2004,CATHAY FINANCIAL HOLDING CO LTD,,Financials,Insurance,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
21,11/07/1996,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,,Industrials,Industrial Goods and Services,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
22,18/10/2000,CHINA PETROLEUM & CHEMICAL CORPORATION,,Energy,Energy,China,Asia,MAIN MARKET,Yes,-
23,23/03/2005,CHINA STEEL CORPORATION,,Basic Materials,Basic Resources,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
24,31/07/1996,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,,Financials,Banks,Egypt,Middle East,MAIN MARKET,Yes,-
25,21/12/2009,COMPAL ELECTRONICS INC,,Technology,Technology,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
26,11/12/2007,DIAMOND BANK PLC,,Financials,Banks,Nigeria,Africa,PROFESSIONAL SECURITIES MARKET,Yes,-
27,13/04/2018,DISH TV INDIA LIMITED,,Consumer Discretionary,Media,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
28,02/04/2015,EDITA FOOD INDUSTRIES S.A.E.,,Consumer Staples,"Food, Beverage and Tobacco",Egypt,Middle East,MAIN MARKET,Yes,-
29,04/08/1998,EFG-HERMES HOLDING S.A.E.,,Financials,Financial Services,Egypt,Middle East,MAIN MARKET,Yes,-
30,08/11/2017,EN+ GROUP INTERNATIONAL PUBLIC JOINT-STOCK COMPANY,,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET,No,-
31,20/04/2011,ETALON GROUP PLC,,Real Estate,Real Estate,Cyprus,Europe,MAIN MARKET,Yes,-
32,30/06/1999,EZZ STEEL COMPANY - S.A.E.,,Basic Materials,Basic Resources,Egypt,Middle East,MAIN MARKET,Yes,-
33,11/10/2004,FAR EASTERN NEW CENTURY CORPORATION,,Basic Materials,Basic Resources,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
34,13/11/2008,FAR EASTONE TELECOMMUNICATIONS CO LTD,,Telecommunications,Telecommunications,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
35,31/01/2006,FEDERAL BANK LIMITED (THE),,Financials,Banks,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
36,28/03/2011,"FEDERAL GRID COMPANY OF UNIFIED ENERGY SYSTEM, PUBLIC JOINT-STOCK COMPANY",,Utilities,Utilities,Russian Federation,Europe,MAIN MARKET,Yes,-
37,12/08/1999,FISHGUARD & ROSSLARE RAILWAYS & HARBOURS COMPANY,,,,United Kingdom,Europe,MAIN MARKET,No,-
38,29/04/2015,FONDUL PROPRIETATEA S.A.,,Financials,Financial Services,Romania,Europe,MAIN MARKET,Yes,-
39,15/11/1999,GAIL (INDIA) LD,,Energy,Energy,India,Asia,PROFESSIONAL SECURITIES MARKET,Yes,-
40,29/06/2011,GLOBAL PORTS INVESTMENTS PLC,,Industrials,Industrial Goods and Services,Cyprus,Europe,MAIN MARKET,Yes,-
41,08/05/2008,GLOBALTRANS INVESTMENT PLC,,Industrials,Industrial Goods and Services,Cyprus,Europe,MAIN MARKET,Yes,-
42,28/05/2010,GREAT EASTERN ENERGY CORPORATION LIMITED,,Energy,Energy,India,Asia,MAIN MARKET,Yes,-
43,06/08/2009,GREEN ENERGY TECHNOLOGY INC.,,Energy,Energy,Taiwan,Asia,ADMISSION TO TRADING ONLY,Yes,-
44,25/10/2007,GRUPO CLARIN S.A.,,Consumer Discretionary,Media,Argentina,Latin America,MAIN MARKET,Yes,-
45,26/07/2007,GUARANTY TRUST BANK PLC,,Financials,Banks,Nigeria,Africa,MAIN MARKET,Yes,-
46,10/11/2006,HANATOUR SERVICE INC.,,Consumer Discretionary,Travel and Leisure,South Korea,Asia,MAIN MARKET,Yes,-
47,30/06/1998,HELLENIC PETROLEUM SA,,Energy,Energy,Greece,Europe,MAIN MARKET,Yes,-
48,24/06/1997,HELLENIC TELECOMMUNICATIONS ORGANIZATION S.A.,,Telecommunications,Telecommunications,Greece,Europe,MAIN MARKET,Yes,-
49,16/04/1948,HIDONG ESTATE PLC,,Consumer Staples,"Food, Beverage and Tobacco",United Kingdom,Europe,MAIN MARKET,No,-
50,14/02/2011,HMS HYDRAULIC MACHINES & SYSTEMS GROUP PLC,,Industrials,Industrial Goods and Services,Cyprus,Europe,MAIN MARKET,Yes,-
51,08/10/1999,HON HAI PRECISION INDUSTRY CO. LTD,,Technology,Technology,Taiwan,Asia,MAIN MARKET,Yes,-
52,17/06/2019,"HUATAI SECURITIES CO., LTD.",,Financials,Financial Services,China,Asia,MAIN MARKET,Yes,-
53,27/04/1950,HWANGE COLLIERY COMPANY LIMITED,,Energy,Energy,Zimbabwe,Africa,MAIN MARKET,Yes,-
